"Date d'admission","Hors soins intensifs","Aux soins intensifs"
"2021-07-05 00:00:00",2,0
"2021-07-06 00:00:00",0,1
"2021-07-07 00:00:00",0,0
"2021-07-08 00:00:00",1,0
"2021-07-09 00:00:00",0,0
"2021-07-10 00:00:00",0,2
"2021-07-11 00:00:00",1,0
"2021-07-12 00:00:00",1,0
"2021-07-13 00:00:00",3,0
"2021-07-14 00:00:00",2,1
"2021-07-15 00:00:00",1,0
"2021-07-16 00:00:00",4,0
"2021-07-17 00:00:00",0,1
"2021-07-18 00:00:00",2,0
"2021-07-19 00:00:00",1,0
"2021-07-20 00:00:00",2,0
"2021-07-21 00:00:00",4,0
"2021-07-22 00:00:00",0,0
"2021-07-23 00:00:00",3,0
"2021-07-24 00:00:00",1,0
"2021-07-25 00:00:00",0,2
"2021-07-26 00:00:00",1,0
"2021-07-27 00:00:00",1,0
"2021-07-28 00:00:00",2,0
"2021-07-29 00:00:00",1,1
"2021-07-30 00:00:00",1,0
"2021-07-31 00:00:00",1,0
"2021-08-01 00:00:00",0,0
"2021-08-02 00:00:00",0,0
"2021-08-03 00:00:00",0,1
"2021-08-04 00:00:00",1,1
"2021-08-05 00:00:00",1,0
"2021-08-06 00:00:00",0,0
"2021-08-07 00:00:00",0,0
"2021-08-08 00:00:00",4,1
"2021-08-09 00:00:00",5,0
"2021-08-10 00:00:00",4,3
"2021-08-11 00:00:00",3,0
"2021-08-12 00:00:00",3,1
"2021-08-13 00:00:00",1,1
"2021-08-14 00:00:00",2,0
"2021-08-15 00:00:00",2,1
"2021-08-16 00:00:00",2,1
"2021-08-17 00:00:00",2,0
"2021-08-18 00:00:00",4,1
"2021-08-19 00:00:00",0,0
"2021-08-20 00:00:00",5,2
"2021-08-21 00:00:00",3,0
"2021-08-22 00:00:00",5,0
"2021-08-23 00:00:00",4,3
"2021-08-24 00:00:00",3,1
"2021-08-25 00:00:00",5,1
"2021-08-26 00:00:00",6,3
"2021-08-27 00:00:00",6,0
"2021-08-28 00:00:00",3,1
"2021-08-29 00:00:00",3,3
"2021-08-30 00:00:00",7,1
"2021-08-31 00:00:00",5,2
"2021-09-01 00:00:00",6,1
"2021-09-02 00:00:00",9,1
"2021-09-03 00:00:00",6,3
"2021-09-04 00:00:00",6,5
"2021-09-05 00:00:00",8,3
"2021-09-06 00:00:00",4,1
"2021-09-07 00:00:00",9,1
"2021-09-08 00:00:00",7,4
"2021-09-09 00:00:00",7,0
"2021-09-10 00:00:00",13,4
"2021-09-11 00:00:00",9,3
"2021-09-12 00:00:00",9,0
"2021-09-13 00:00:00",7,3
"2021-09-14 00:00:00",12,5
"2021-09-15 00:00:00",7,9
"2021-09-16 00:00:00",8,9
"2021-09-17 00:00:00",8,5
"2021-09-18 00:00:00",6,4
"2021-09-19 00:00:00",7,3
"2021-09-20 00:00:00",13,0
"2021-09-21 00:00:00",10,1
"2021-09-22 00:00:00",12,3
"2021-09-23 00:00:00",12,3
"2021-09-24 00:00:00",10,3
"2021-09-25 00:00:00",12,2
"2021-09-26 00:00:00",6,1
"2021-09-27 00:00:00",6,3
"2021-09-28 00:00:00",10,2
"2021-09-29 00:00:00",14,2
"2021-09-30 00:00:00",6,0
"2021-10-01 00:00:00",3,3
"2021-10-02 00:00:00",8,3
"2021-10-03 00:00:00",8,1
"2021-10-04 00:00:00",8,0
"2021-10-05 00:00:00",6,1
"2021-10-06 00:00:00",8,0
"2021-10-07 00:00:00",7,1
"2021-10-08 00:00:00",4,3
"2021-10-09 00:00:00",4,3
"2021-10-10 00:00:00",5,1
"2021-10-11 00:00:00",8,1
"2021-10-12 00:00:00",9,0
"2021-10-13 00:00:00",11,2
"2021-10-14 00:00:00",4,5
"2021-10-15 00:00:00",6,0
"2021-10-16 00:00:00",5,2
"2021-10-17 00:00:00",5,1
"2021-10-18 00:00:00",4,1
"2021-10-19 00:00:00",7,3
"2021-10-20 00:00:00",5,1
"2021-10-21 00:00:00",7,2
"2021-10-22 00:00:00",6,2
"2021-10-23 00:00:00",3,1
"2021-10-24 00:00:00",3,2
"2021-10-25 00:00:00",1,1
"2021-10-26 00:00:00",5,3
"2021-10-27 00:00:00",8,3
"2021-10-28 00:00:00",3,3
"2021-10-29 00:00:00",3,1
"2021-10-30 00:00:00",6,1
"2021-10-31 00:00:00",5,3
"2021-11-01 00:00:00",6,0
"2021-11-02 00:00:00",5,0
"2021-11-03 00:00:00",7,4
"2021-11-04 00:00:00",3,1
"2021-11-05 00:00:00",7,1
"2021-11-06 00:00:00",6,1
"2021-11-07 00:00:00",4,1
"2021-11-08 00:00:00",13,0
"2021-11-09 00:00:00",9,2
"2021-11-10 00:00:00",6,0
"2021-11-11 00:00:00",8,5
"2021-11-12 00:00:00",8,0
"2021-11-13 00:00:00",3,1
"2021-11-14 00:00:00",5,2
"2021-11-15 00:00:00",9,4
"2021-11-16 00:00:00",8,1
"2021-11-17 00:00:00",10,1
"2021-11-18 00:00:00",9,1
"2021-11-19 00:00:00",7,2
"2021-11-20 00:00:00",4,3
"2021-11-21 00:00:00",7,0
"2021-11-22 00:00:00",6,2
"2021-11-23 00:00:00",5,0
"2021-11-24 00:00:00",8,0
"2021-11-25 00:00:00",10,2
"2021-11-26 00:00:00",17,1
"2021-11-27 00:00:00",11,2
"2021-11-28 00:00:00",7,2
"2021-11-29 00:00:00",4,2
"2021-11-30 00:00:00",13,3
"2021-12-01 00:00:00",19,2
"2021-12-02 00:00:00",7,2
"2021-12-03 00:00:00",14,1
"2021-12-04 00:00:00",13,1
"2021-12-05 00:00:00",12,2
"2021-12-06 00:00:00",10,2
"2021-12-07 00:00:00",13,0
"2021-12-08 00:00:00",17,5
"2021-12-09 00:00:00",18,2
"2021-12-10 00:00:00",17,3
"2021-12-11 00:00:00",9,5
"2021-12-12 00:00:00",15,2
"2021-12-13 00:00:00",25,2
"2021-12-14 00:00:00",20,4
"2021-12-15 00:00:00",27,2
"2021-12-16 00:00:00",31,8
"2021-12-17 00:00:00",31,2
"2021-12-18 00:00:00",22,5
"2021-12-19 00:00:00",22,4
"2021-12-20 00:00:00",33,3
"2021-12-21 00:00:00",34,6
"2021-12-22 00:00:00",34,4
"2021-12-23 00:00:00",40,2
"2021-12-24 00:00:00",26,2
"2021-12-25 00:00:00",32,4
"2021-12-26 00:00:00",36,5
"2021-12-27 00:00:00",54,6
"2021-12-28 00:00:00",42,4
"2021-12-29 00:00:00",63,8
"2021-12-30 00:00:00",74,8
"2021-12-31 00:00:00",52,9
"2022-01-01 00:00:00",47,9
"2022-01-02 00:00:00",65,7
"2022-01-03 00:00:00",50,9
"2022-01-04 00:00:00",66,12
"2022-01-05 00:00:00",78,8
"2022-01-06 00:00:00",93,17
"2022-01-07 00:00:00",73,8
"2022-01-08 00:00:00",73,10
"2022-01-09 00:00:00",74,5
"2022-01-10 00:00:00",80,10
"2022-01-11 00:00:00",89,15
"2022-01-12 00:00:00",73,16
"2022-01-13 00:00:00",72,12
"2022-01-14 00:00:00",92,10
"2022-01-15 00:00:00",76,6
"2022-01-16 00:00:00",51,7
"2022-01-17 00:00:00",62,10
"2022-01-18 00:00:00",61,11
"2022-01-19 00:00:00",69,8
"2022-01-20 00:00:00",76,5
"2022-01-21 00:00:00",72,10
"2022-01-22 00:00:00",54,8
"2022-01-23 00:00:00",41,5
"2022-01-24 00:00:00",54,7
"2022-01-25 00:00:00",39,5
"2022-01-26 00:00:00",66,7
"2022-01-27 00:00:00",46,10
"2022-01-28 00:00:00",42,2
"2022-01-29 00:00:00",32,5
"2022-01-30 00:00:00",31,3
"2022-01-31 00:00:00",33,4
"2022-02-01 00:00:00",36,5
"2022-02-02 00:00:00",43,3
"2022-02-03 00:00:00",30,4
"2022-02-04 00:00:00",47,4
"2022-02-05 00:00:00",25,2
"2022-02-06 00:00:00",32,3
"2022-02-07 00:00:00",32,4
"2022-02-08 00:00:00",25,7
"2022-02-09 00:00:00",24,2
"2022-02-10 00:00:00",22,4
"2022-02-11 00:00:00",23,3
"2022-02-12 00:00:00",21,4
"2022-02-13 00:00:00",18,4
"2022-02-14 00:00:00",21,3
"2022-02-15 00:00:00",11,4
"2022-02-16 00:00:00",17,3
"2022-02-17 00:00:00",15,2
"2022-02-18 00:00:00",18,5
"2022-02-19 00:00:00",18,2
"2022-02-20 00:00:00",16,0
"2022-02-21 00:00:00",15,1
"2022-02-22 00:00:00",18,2
"2022-02-23 00:00:00",20,1
"2022-02-24 00:00:00",16,1
"2022-02-25 00:00:00",12,1
"2022-02-26 00:00:00",8,2
"2022-02-27 00:00:00",7,0
"2022-02-28 00:00:00",14,0
"2022-03-01 00:00:00",17,1
"2022-03-02 00:00:00",17,2
"2022-03-03 00:00:00",17,1
"2022-03-04 00:00:00",15,1
"2022-03-05 00:00:00",14,1
"2022-03-06 00:00:00",8,0
"2022-03-07 00:00:00",10,0
"2022-03-08 00:00:00",24,0
"2022-03-09 00:00:00",15,1
"2022-03-10 00:00:00",16,0
"2022-03-11 00:00:00",20,2
"2022-03-12 00:00:00",5,1
"2022-03-13 00:00:00",5,0
"2022-03-14 00:00:00",9,2
"2022-03-15 00:00:00",17,0
"2022-03-16 00:00:00",19,0
"2022-03-17 00:00:00",23,1
"2022-03-18 00:00:00",11,0
"2022-03-19 00:00:00",9,1
"2022-03-20 00:00:00",13,0
"2022-03-21 00:00:00",14,0
"2022-03-22 00:00:00",16,1
"2022-03-23 00:00:00",20,3
"2022-03-24 00:00:00",15,2
"2022-03-25 00:00:00",22,1
"2022-03-26 00:00:00",18,1
"2022-03-27 00:00:00",21,1
"2022-03-28 00:00:00",28,3
"2022-03-29 00:00:00",16,1
"2022-03-30 00:00:00",27,4
"2022-03-31 00:00:00",23,4
"2022-04-01 00:00:00",32,1
"2022-04-02 00:00:00",23,2
"2022-04-03 00:00:00",16,0
"2022-04-04 00:00:00",42,0
"2022-04-05 00:00:00",31,1
"2022-04-06 00:00:00",25,1
"2022-04-07 00:00:00",29,1
"2022-04-08 00:00:00",23,4
"2022-04-09 00:00:00",25,2
"2022-04-10 00:00:00",22,0
"2022-04-11 00:00:00",34,4
"2022-04-12 00:00:00",37,2
"2022-04-13 00:00:00",46,2
"2022-04-14 00:00:00",46,3
"2022-04-15 00:00:00",41,2
"2022-04-16 00:00:00",22,2
"2022-04-17 00:00:00",24,6
"2022-04-18 00:00:00",33,1
"2022-04-19 00:00:00",28,1
"2022-04-20 00:00:00",37,2
"2022-04-21 00:00:00",39,3
"2022-04-22 00:00:00",37,1
"2022-04-23 00:00:00",27,4
"2022-04-24 00:00:00",28,5
"2022-04-25 00:00:00",42,5
"2022-04-26 00:00:00",23,3
"2022-04-27 00:00:00",33,4
"2022-04-28 00:00:00",25,1
"2022-04-29 00:00:00",33,4
"2022-04-30 00:00:00",20,2
"2022-05-01 00:00:00",18,2
"2022-05-02 00:00:00",31,2
"2022-05-03 00:00:00",22,2
"2022-05-04 00:00:00",41,3
"2022-05-05 00:00:00",19,1
"2022-05-06 00:00:00",23,1
"2022-05-07 00:00:00",17,5
"2022-05-08 00:00:00",10,3
"2022-05-09 00:00:00",19,1
"2022-05-10 00:00:00",17,1
"2022-05-11 00:00:00",26,1
"2022-05-12 00:00:00",20,1
"2022-05-13 00:00:00",22,0
"2022-05-14 00:00:00",15,0
"2022-05-15 00:00:00",22,0
"2022-05-16 00:00:00",21,0
"2022-05-17 00:00:00",19,1
"2022-05-18 00:00:00",12,0
"2022-05-19 00:00:00",10,2
"2022-05-20 00:00:00",13,1
"2022-05-21 00:00:00",9,3
"2022-05-22 00:00:00",7,3
"2022-05-23 00:00:00",8,1
"2022-05-24 00:00:00",10,0
"2022-05-25 00:00:00",12,0
"2022-05-26 00:00:00",16,0
"2022-05-27 00:00:00",15,2
"2022-05-28 00:00:00",14,1
"2022-05-29 00:00:00",9,2
"2022-05-30 00:00:00",10,1
"2022-05-31 00:00:00",13,0
"2022-06-01 00:00:00",14,2
"2022-06-02 00:00:00",11,0
"2022-06-03 00:00:00",14,1
"2022-06-04 00:00:00",6,1
"2022-06-05 00:00:00",12,0
"2022-06-06 00:00:00",7,1
"2022-06-07 00:00:00",15,1
"2022-06-08 00:00:00",15,0
"2022-06-09 00:00:00",11,0
"2022-06-10 00:00:00",13,1
"2022-06-11 00:00:00",13,2
"2022-06-12 00:00:00",12,0
"2022-06-13 00:00:00",9,1
"2022-06-14 00:00:00",19,0
"2022-06-15 00:00:00",17,1
"2022-06-16 00:00:00",26,1
"2022-06-17 00:00:00",16,0
"2022-06-18 00:00:00",18,0
"2022-06-19 00:00:00",11,1
"2022-06-20 00:00:00",28,1
"2022-06-21 00:00:00",25,0
"2022-06-22 00:00:00",16,0
"2022-06-23 00:00:00",24,1
"2022-06-24 00:00:00",29,4
"2022-06-25 00:00:00",24,2
"2022-06-26 00:00:00",15,1
"2022-06-27 00:00:00",22,2
"2022-06-28 00:00:00",23,0
"2022-06-29 00:00:00",23,1
"2022-06-30 00:00:00",29,4
"2022-07-01 00:00:00",25,0
"2022-07-02 00:00:00",28,2
"2022-07-03 00:00:00",22,0
"2022-07-04 00:00:00",23,3
"2022-07-05 00:00:00",32,3
"2022-07-06 00:00:00",28,2
"2022-07-07 00:00:00",47,3
"2022-07-08 00:00:00",24,1
"2022-07-09 00:00:00",25,1
"2022-07-10 00:00:00",19,1
"2022-07-11 00:00:00",32,3
"2022-07-12 00:00:00",33,1
"2022-07-13 00:00:00",31,1
"2022-07-14 00:00:00",34,2
"2022-07-15 00:00:00",33,4
"2022-07-16 00:00:00",18,1
"2022-07-17 00:00:00",29,4
"2022-07-18 00:00:00",37,3
"2022-07-19 00:00:00",38,4
"2022-07-20 00:00:00",37,5
"2022-07-21 00:00:00",36,4
"2022-07-22 00:00:00",46,0
"2022-07-23 00:00:00",23,2
"2022-07-24 00:00:00",24,1
"2022-07-25 00:00:00",36,5
"2022-07-26 00:00:00",27,1
"2022-07-27 00:00:00",29,0
"2022-07-28 00:00:00",34,2
"2022-07-29 00:00:00",31,1
"2022-07-30 00:00:00",20,1
"2022-07-31 00:00:00",19,3
"2022-08-01 00:00:00",21,4
"2022-08-02 00:00:00",29,1
"2022-08-03 00:00:00",35,1
"2022-08-04 00:00:00",18,3
"2022-08-05 00:00:00",25,2
"2022-08-06 00:00:00",19,2
"2022-08-07 00:00:00",18,1
"2022-08-08 00:00:00",24,2
"2022-08-09 00:00:00",19,2
"2022-08-10 00:00:00",22,1
"2022-08-11 00:00:00",17,3
"2022-08-12 00:00:00",23,0
"2022-08-13 00:00:00",11,4
"2022-08-14 00:00:00",14,1
"2022-08-15 00:00:00",30,3
"2022-08-16 00:00:00",21,3
"2022-08-17 00:00:00",20,0
"2022-08-18 00:00:00",21,3
"2022-08-19 00:00:00",27,1
"2022-08-20 00:00:00",18,4
"2022-08-21 00:00:00",14,0
"2022-08-22 00:00:00",19,0
"2022-08-23 00:00:00",13,1
"2022-08-24 00:00:00",18,3
"2022-08-25 00:00:00",11,0
"2022-08-26 00:00:00",20,1
"2022-08-27 00:00:00",19,1
"2022-08-28 00:00:00",8,1
"2022-08-29 00:00:00",17,0
"2022-08-30 00:00:00",15,1
"2022-08-31 00:00:00",22,0
"2022-09-01 00:00:00",25,0
"2022-09-02 00:00:00",21,1
"2022-09-03 00:00:00",16,0
"2022-09-04 00:00:00",13,0
"2022-09-05 00:00:00",13,0
"2022-09-06 00:00:00",14,0
"2022-09-07 00:00:00",14,1
"2022-09-08 00:00:00",14,3
"2022-09-09 00:00:00",17,2
"2022-09-10 00:00:00",10,3
"2022-09-11 00:00:00",19,2
"2022-09-12 00:00:00",25,2
"2022-09-13 00:00:00",20,2
"2022-09-14 00:00:00",27,0
"2022-09-15 00:00:00",25,1
"2022-09-16 00:00:00",14,2
"2022-09-17 00:00:00",19,0
"2022-09-18 00:00:00",13,0
"2022-09-19 00:00:00",19,1
"2022-09-20 00:00:00",25,3
"2022-09-21 00:00:00",21,2
"2022-09-22 00:00:00",15,3
"2022-09-23 00:00:00",20,2
"2022-09-24 00:00:00",9,3
"2022-09-25 00:00:00",9,0
"2022-09-26 00:00:00",18,0
"2022-09-27 00:00:00",30,1
"2022-09-28 00:00:00",22,1
"2022-09-29 00:00:00",22,0
"2022-09-30 00:00:00",33,2
"2022-10-01 00:00:00",25,1
"2022-10-02 00:00:00",18,2
"2022-10-03 00:00:00",25,1
"2022-10-04 00:00:00",34,0
"2022-10-05 00:00:00",26,0
"2022-10-06 00:00:00",26,1
"2022-10-07 00:00:00",23,1
"2022-10-08 00:00:00",21,4
"2022-10-09 00:00:00",16,0
"2022-10-10 00:00:00",19,4
"2022-10-11 00:00:00",30,2
"2022-10-12 00:00:00",38,2
"2022-10-13 00:00:00",27,1
"2022-10-14 00:00:00",25,2
"2022-10-15 00:00:00",23,2
"2022-10-16 00:00:00",13,0
"2022-10-17 00:00:00",26,4
"2022-10-18 00:00:00",22,1
"2022-10-19 00:00:00",22,2
"2022-10-20 00:00:00",24,2
"2022-10-21 00:00:00",22,1
"2022-10-22 00:00:00",17,1
"2022-10-23 00:00:00",18,1
"2022-10-24 00:00:00",24,2
"2022-10-25 00:00:00",29,1
"2022-10-26 00:00:00",29,3
"2022-10-27 00:00:00",20,3
"2022-10-28 00:00:00",25,5
"2022-10-29 00:00:00",14,1
"2022-10-30 00:00:00",15,1
"2022-10-31 00:00:00",26,2
"2022-11-01 00:00:00",16,3
"2022-11-02 00:00:00",22,2
"2022-11-03 00:00:00",27,0
"2022-11-04 00:00:00",29,6
"2022-11-05 00:00:00",15,0
"2022-11-06 00:00:00",16,0
"2022-11-07 00:00:00",21,0
"2022-11-08 00:00:00",25,3
"2022-11-09 00:00:00",24,1
"2022-11-10 00:00:00",19,2
"2022-11-11 00:00:00",22,1
"2022-11-12 00:00:00",14,1
"2022-11-13 00:00:00",14,0
"2022-11-14 00:00:00",19,2